product_id,product_name,product_brand,rating,no_of_reviews,current_price,original_price
202274,  Skyward 4 Tent,REI Co-op,3.9,64,260.93,374.0
216648,  Aerios 30 Pack - Women's,Arc'teryx,4.3,29,141.93,190.0
897683,  Delta Camp Set,Sea to Summit,4.9,20,21.93,29.95
204962,  Original Puffy Blanket - Artist Division,Rumpl,4.7,404,107.93,145.0
226763,  Flash 18 Pack - Latino Outdoors Edition,REI Co-op,4.4,163,27.93,39.95
830775,  Pinnacle Backpacker Cookset,GSI Outdoors,4.5,30,81.93,109.95
233693,  Phantom 30 Sleeping Bag,Mountain Hardwear,4.4,7,359.73,480.0
221819,  Personal Towel,PackTowl,4.2,40,,
131611,  The Deuce 2 UL Backcountry Trowel,TheTentLab,4.5,149,14.93,19.95
203552,  Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.,REI Co-op,4.8,144,10.93,15.95
193121,  Trailgate Vehicle Shelter,REI Co-op,3.7,53,73.83,149.0
147499,  Luci Candle Lantern,MPOWERD,3.8,4,12.73,19.99
184998,  Dash Chair,ALPS Mountaineering,2.7,9,44.73,119.99
203274,  Roo Double Recycled Hammock,Kammok,4.9,506,,
141510,  4-Person Enamel Tableware Set,Mountain Summit Gear,2.9,33,26.73,60.0
221661,  Wallace Lake Sherpa Fleece Blanket,REI Co-op,4.9,31,44.93,89.95
241207,  Astro 250 Headlamp,Black Diamond,1.5,2,14.73,19.95
234022,  Luci Pro Series Inflatable Solar Lantern,MPOWERD,4.5,13,34.73,49.99
168488,  Trail 2 Print Waist Pack,REI Co-op,4.7,358,20.93,29.95
230606,  Ultra-Sil Dry Sack - Set of 3,Sea to Summit,4.0,2,41.73,59.95
174080,  Antero +35 Sleeping Bag,Mountainsmith,3.7,3,64.73,119.95
212823,  Honor Native Land Binocular Bundle,Nocs Provisions,4.4,34,89.93,130.0
171982,  Northwood Series II 4-Person Backpacking Tent,Mountain Summit Gear,3.6,28,112.73,284.99
232273,  Snap Solo Headlamp,Princeton Tec,5.0,3,20.73,39.95
240798,  View Dry Sack,Sea to Summit,0.0,0,17.73,
232446,"  Hinman Self-Inflating Sleeping Pad - 78 x 50 x 4""",Big Agnes,4.4,7,155.73,279.95
239653,  Dirty/Clean Bag,Outdoor Research,4.9,38,26.73,
237941,  Armbar Slim Drive Multi-Tool,Gerber,4.1,16,29.73,40.0
206688,  Luzon 18 L Pack - Del Dia,Cotopaxi,4.7,518,44.93,60.0
179658,  Pourigami,MiiR,4.4,48,21.93,29.95
240791,  Camp Cutlery 3-Piece Set,Sea to Summit,0.0,0,3.73,5.95
198606,  Hand Warmers - 1 Pair,Ignik,3.9,34,0.93,1.95
233658,  vivoactive 5,Garmin,4.4,188,249.99,300.0
232448,  Big Six Camp Chair,Big Agnes,4.2,13,107.73,199.95
233392,  Venu 3S,Garmin,4.1,21,399.99,450.0
216795,  Forerunner 955,Garmin,4.5,247,399.99,500.0
216791,  Forerunner 255,Garmin,4.6,274,249.99,350.0
233391,  Venu 3,Garmin,4.4,260,399.99,450.0
227243,  Instinct 2X Solar,Garmin,4.6,204,349.99,450.0
205174,  Monarch M5 8 x 42 Binoculars,Nikon,4.8,33,259.99,289.95
